ticket_id,date_raised,date_resolved,department,region,agent_name,customer_name,customer_email,priority,status,response_time_minutes,customer_satisfaction_score,revenue_impact
00F29CC0,2/1/2024,2/1/2024,Sales,North America,Michael Wilson,Jennifer Baldwin,stevenkeller@example.org,Critical,Resolved,998,3.33,19929.56
88E635A1,2/3/2024,,Customer Support,North America,Mr. Matthew Hanson,Cindy Austin,jessicahobbs@example.org,Medium,Unresolved,,,42929.37
B76D9674,2/3/2024,2/3/2024,Technical Support,Middle East,Molly Rodriguez,Matthew Adkins,bethanyruiz@example.org,High,Resolved,1116,4.71,17950.34
440B480B,2/5/2024,2/7/2024,Sales,Asia Pacific,Sarah Hart,Joseph Wilson,ryananderson@example.net,High,Resolved,3199,4.61,43401.67
3B2CE03E,2/6/2024,,Billing,Africa,Rhonda Gomez,Mark Lewis,xgriffin@example.com,Low,Unresolved,,,15516.63
95A8D353,2/6/2024,2/7/2024,Operations,Asia Pacific,James Grant,Joel Campos,mramos@example.com,High,Resolved,2650,3.97,7014.4
D7D65C53,2/7/2024,2/7/2024,Billing,Europe,Joseph Schroeder,Eugene Decker,terrywatson@example.com,Critical,Resolved,367,1.16,752.04
1F0FFACF,2/9/2024,2/9/2024,Technical Support,North America,Felicia Lopez,Nicholas Hall,aprilwatts@example.org,Medium,Resolved,60,3.56,4132.22
877D9CAC,2/9/2024,2/10/2024,Operations,Asia Pacific,Sherry Davis,Kayla Perez,richard61@example.org,Low,Resolved,2380,3.48,16767.89
3AFF46FA,2/10/2024,2/11/2024,Technical Support,Europe,Beverly Thomas,Megan Solis,jmendez@example.com,Medium,Resolved,2765,2.57,107.18
724C9C71,2/10/2024,2/12/2024,Technical Support,Europe,Vicki Ramos,Veronica Williams,petersdiana@example.org,Low,Resolved,3105,1.53,11485.85
7F91B370,2/11/2024,2/12/2024,Billing,Asia Pacific,Shane Parker,Jean Hogan,garrisonjohn@example.org,High,Resolved,1779,2.73,33335.52
EB17E258,2/11/2024,,Sales,Europe,Thomas Mcdonald,Thomas Barnett,hmartinez@example.org,Medium,Unresolved,,,21359.87
8066D1B3,2/12/2024,2/12/2024,Billing,Africa,Allison Wilson,Caleb Watson,carl42@example.org,High,Resolved,1157,4.44,15885.19
93CD11D0,2/13/2024,2/15/2024,Operations,North America,Isaiah Jenkins,Erika Mason,ginashah@example.org,High,Resolved,3611,3.79,7022.36
35069F4C,2/13/2024,2/14/2024,Technical Support,Europe,Ariel Richardson,Brian Schmidt,jessicalloyd@example.org,Low,Resolved,2037,2.99,11815.22
68DFB2D4,2/14/2024,2/15/2024,Customer Support,Europe,Wanda Nelson,Kevin Bailey,tfernandez@example.net,Low,Resolved,2342,2.7,41025.7
625F7C73,2/14/2024,,Sales,Middle East,Jeffrey Johnson,James Kelly,brendaperry@example.com,High,Unresolved,,,48049.14
0B0E1361,2/14/2024,2/16/2024,Operations,Africa,Angela Morris,Melissa Alvarez,gordonallison@example.org,High,Resolved,4171,3.5,16860.05
859CCCE0,2/16/2024,2/16/2024,Operations,Africa,Robert Brewer,Randy Hall,bethanycox@example.net,High,Resolved,642,3.8,20703.2
89F40D1E,2/16/2024,2/17/2024,Technical Support,Africa,Christina Berry,Linda Deleon,emilybishop@example.org,Low,Resolved,2058,3.19,35965.75
E78C45B7,2/16/2024,,Customer Support,Africa,Brad Thornton,Eddie Rivera,claire66@example.com,High,Unresolved,,,3241.6
08DF68E9,2/19/2024,2/19/2024,Operations,North America,Jennifer Greene,Melinda Rowe,gonzaleschase@example.net,High,Resolved,1310,3.01,16916.78
1A9CB7C3,2/19/2024,2/20/2024,Technical Support,Europe,Kristin Ware,Chad Green,kylie19@example.com,Critical,Resolved,2095,1.67,21655.62
6D145742,2/19/2024,2/21/2024,Operations,North America,Seth Hampton,Amy Jefferson,lauren25@example.org,High,Resolved,3152,1.37,25664.12
9F84AF08,2/21/2024,2/21/2024,Operations,Europe,Cory Conley,Eddie Duran,raymond31@example.com,High,Resolved,786,2.02,45822.11
314EFB9E,2/21/2024,2/21/2024,Technical Support,Middle East,Teresa Jordan,Randall Anderson,diana31@example.org,Critical,Resolved,807,1.57,20065.97
E0B72624,2/23/2024,2/24/2024,Operations,Africa,Stephanie Clark,James Myers,jennifer06@example.com,High,Resolved,2555,4.55,17284.06
B64AD71F,2/23/2024,2/23/2024,Sales,Africa,Lisa Carpenter MD,Samantha Kennedy,asmith@example.net,Critical,Resolved,1056,4.12,27126.9
700F6716,2/25/2024,,Customer Support,North America,Brian Kennedy,Diana Knight,ssanford@example.net,Medium,Unresolved,,,24878.26
89B24EF0,2/25/2024,,Customer Support,Africa,Anthony Harris,Noah Atkins,vfitzpatrick@example.net,Low,Unresolved,,,2656.98
F698511C,2/26/2024,2/26/2024,Technical Support,North America,Brooke Erickson,Tara Nguyen,martha73@example.org,Low,Resolved,684,4.3,19996.59
9670714A,2/26/2024,2/26/2024,Operations,Europe,Jesse Watkins,Breanna Dennis,obarnett@example.com,High,Resolved,1022,1.45,10841.08
416179C4,2/27/2024,2/29/2024,Customer Support,Africa,George Thompson,Patricia Stout,qthomas@example.net,High,Resolved,2964,1.23,16978.04
9620A365,2/27/2024,,Billing,Europe,Mary Smith,Douglas Myers,rlewis@example.net,Critical,Unresolved,,,20919.45
DF8F6D0D,2/27/2024,,Sales,Middle East,Jerome Miller,Angelica Smith,lrobinson@example.net,Medium,Unresolved,,,48256.05
57C4E8FD,2/28/2024,3/1/2024,Operations,North America,Caroline Johnson,Vanessa Perez,rsoto@example.com,Low,Resolved,3111,3.54,42872.52
38EDAFD5,2/28/2024,3/1/2024,Technical Support,Europe,Ann York,Christopher Henry,smithjennifer@example.net,Medium,Resolved,4271,3.54,998.91
690E6C3D,2/29/2024,,Technical Support,Africa,April Wright,Jack Phillips,nfloyd@example.org,High,Unresolved,,,27414.36
8739880D,3/2/2024,3/2/2024,Customer Support,Africa,Dana Garza,Dr. Michelle Thompson,cassandra05@example.com,Medium,Resolved,1431,4.23,17729.07
F75F6AA4,3/4/2024,3/5/2024,Operations,North America,Joshua Williams,Teresa Montgomery,alvarezcrystal@example.org,Critical,Resolved,1676,1.2,1293.61
F07DDAF3,3/5/2024,,Billing,North America,Amy Maldonado,Shelby Watson,jonsoto@example.org,Low,Unresolved,,,17660.92
88B3C40F,3/8/2024,,Billing,Europe,Beth Dean,Kathryn Avery,patellindsay@example.com,High,Unresolved,,,225.81
80287A10,3/9/2024,3/9/2024,Sales,North America,Nathan Clark,Tonya Stephenson,zacharymiranda@example.net,Critical,Resolved,826,1.58,33958.21
D9218DC5,3/9/2024,3/10/2024,Customer Support,North America,Kathleen Hunt,Lori Sexton,lwu@example.com,Critical,Resolved,2813,3.61,16389.78
7924601,3/9/2024,,Sales,Europe,Casey Salazar,Donna Compton,jordanrhodes@example.org,High,Unresolved,,,36754.02
C78D7140,3/10/2024,3/10/2024,Operations,Middle East,Jesus Marks,Jordan Johnson,mayoadrian@example.com,Medium,Resolved,945,1.76,7672.53
D67284A6,3/11/2024,3/13/2024,Billing,Middle East,Sarah Miller,Gerald Bryant,yolanda87@example.net,High,Resolved,4010,2.88,3487.57
29FD9B18,3/11/2024,,Customer Support,North America,Sydney Brooks,Philip Tucker,ronnie45@example.org,Critical,Unresolved,,,48773.01
A6172D2F,3/13/2024,3/13/2024,Sales,North America,Kelly Casey,Tina Walker,colejoseph@example.com,Low,Resolved,730,3.12,30254.11
BE334F4F,3/13/2024,3/15/2024,Billing,Middle East,Joseph Hernandez,Taylor Ross,lwest@example.org,Medium,Resolved,4188,1.48,15708.9
F9EEB519,3/15/2024,3/17/2024,Technical Support,Europe,Lucas Fletcher,Paul Anderson,arianachung@example.com,Medium,Resolved,3984,3.64,4818
2E6D0E8A,3/17/2024,3/19/2024,Operations,Asia Pacific,Logan Weaver,Dawn Lewis,jonesdana@example.net,Medium,Resolved,3195,2.38,15116.78
ADE2B13F,3/17/2024,3/17/2024,Customer Support,Middle East,Vanessa Jarvis,Lisa Miles,jake58@example.org,Critical,Resolved,246,4.96,34768.87
F704956C,3/17/2024,3/17/2024,Technical Support,Europe,Juan Gomez,Terri Strong,anthonydunn@example.org,Medium,Resolved,503,3.83,20386.36
856C64F1,3/19/2024,3/19/2024,Billing,Europe,Daniel Townsend,Thomas West,mendezerica@example.net,Low,Resolved,743,1.06,20115.31
C56E8FA1,3/20/2024,,Billing,North America,Marie Hodges,Samantha Clarke,jasonarmstrong@example.org,Medium,Unresolved,,,6730.78
2D506F6A,3/20/2024,3/20/2024,Operations,Middle East,Kayla Ryan,Shane Harris,heather96@example.com,Medium,Resolved,760,1.92,20242.88
9585CF25,3/20/2024,,Billing,Europe,Beverly Gonzalez,Robert Curtis,sarah44@example.org,High,Unresolved,,,21315.1
FCA9E94E,3/20/2024,3/22/2024,Technical Support,Europe,Emily Colon,Paula Jones,nmartinez@example.net,Low,Resolved,2965,1.66,34765.85
A85A7CE8,3/21/2024,,Customer Support,Asia Pacific,Jack Mcconnell,Lindsey Brown,davismario@example.com,High,Unresolved,,,14317.55
C82D5A9C,3/21/2024,,Sales,Middle East,Michael Herrera,Michael Cook,terrence15@example.com,Critical,Unresolved,,,5100.85
C41A6B5A,3/22/2024,3/22/2024,Customer Support,North America,Christine Mcdonald,Amy Collins,frogers@example.com,Low,Resolved,626,1.44,1906.79
A4594205,3/23/2024,3/23/2024,Technical Support,Middle East,Renee Harper,Brenda Gray,emilystrong@example.net,Critical,Resolved,1436,4.52,30106.7
20A3014F,3/23/2024,,Operations,Africa,Thomas Foster,Kelly Rivas,ramirezbrandi@example.net,Critical,Unresolved,,,15634.53
B4908D36,3/24/2024,3/25/2024,Customer Support,Middle East,Jennifer Alexander,Shelly Tate,chadcook@example.net,Medium,Resolved,1976,3.68,48275.94
7B3A4362,3/24/2024,3/26/2024,Sales,North America,Carlos Vance,Christian Skinner,josephcook@example.com,Critical,Resolved,3974,2.06,41863.77
81602C89,3/25/2024,3/25/2024,Customer Support,North America,Patrick Morris,Matthew White,cynthia25@example.org,Critical,Resolved,509,1.46,10467.35
C665872A,3/27/2024,,Billing,Middle East,Mark Ingram,Eric Dougherty,thernandez@example.net,Medium,Unresolved,,,16321.38
6BD0EC80,3/28/2024,3/29/2024,Customer Support,Europe,Rose Macias,Daniel Ingram,abrown@example.com,Low,Resolved,1595,3.17,40833.64
2F3689DD,3/28/2024,3/28/2024,Operations,Europe,Lauren Roberts,Mathew Ruiz,williamsonmarcia@example.net,High,Resolved,416,4.42,2367.67
03EBD8E3,3/28/2024,3/30/2024,Sales,Asia Pacific,Elizabeth Jones,Cody Gomez,olsonanthony@example.net,Medium,Resolved,3477,1.86,26835.78
54F7CB9A,3/28/2024,,Billing,Middle East,Anthony Neal,Sean Scott,hcollins@example.com,Critical,Unresolved,,,35413.3
55257746,3/29/2024,,Operations,Africa,Christine Brown,Adam Hunter,lindseymarsh@example.net,Low,Unresolved,,,10691.35
32BA0DD2,3/31/2024,4/2/2024,Customer Support,Africa,Stephanie Gomez,Amanda Taylor,rickydougherty@example.com,Low,Resolved,2910,2.47,38177.75
CC34002E,4/1/2024,,Sales,Middle East,Michael Pitts,James Perez,mmcbride@example.com,High,Unresolved,,,13991.13
B6018A0A,4/1/2024,4/3/2024,Sales,Middle East,Whitney Moore,Kevin Jefferson,rachelriley@example.net,Low,Resolved,3915,1.23,32076.16
F6866A2A,4/1/2024,4/1/2024,Technical Support,Asia Pacific,Lisa Hernandez,Angela Burke,millerdavid@example.net,Low,Resolved,396,1.38,12356.22
C845303C,4/2/2024,,Technical Support,Africa,Timothy Erickson,Kyle Hill,hernandezrobert@example.org,Critical,Unresolved,,,11839.37
AB24D895,4/3/2024,4/4/2024,Technical Support,North America,Michelle Smith,Julie Frank,mallory70@example.com,High,Resolved,2751,3.25,20069.12
4FF394C7,4/3/2024,4/4/2024,Sales,Europe,Hannah Williams,Christopher Wood,matthew14@example.com,Medium,Resolved,2272,1.72,26613.17
83793DD7,4/3/2024,,Sales,Middle East,Melinda Mcdonald,Stephanie Maldonado,angelacruz@example.net,Low,Unresolved,,,16038.63
2DA1E922,4/3/2024,,Technical Support,Middle East,Cassandra Bond,Christopher White,ballardkelly@example.net,High,Unresolved,,,14692.48
CFE45154,4/4/2024,4/6/2024,Customer Support,Middle East,John Hines,Carly Fitzgerald,karina35@example.org,Critical,Resolved,3162,2.13,11181.16
501CF0BC,4/6/2024,4/7/2024,Customer Support,Middle East,Jessica Howard,Curtis Donaldson,keystephanie@example.net,Low,Resolved,2280,2.34,31365.77
9CFE91C5,4/6/2024,4/8/2024,Customer Support,Asia Pacific,Kimberly Gray,Jeffery Henry,thomasbryant@example.com,High,Resolved,3192,3.81,11699.15
AA548B97,4/7/2024,4/8/2024,Billing,Middle East,Tamara Evans,Jackson Morris,kristi89@example.org,Critical,Resolved,2121,3.94,28817.73
952909FB,4/7/2024,4/9/2024,Operations,Africa,Joshua Zuniga,Brooke Fletcher,kimberly28@example.org,Critical,Resolved,3944,4.88,35008.9
6FD2908D,4/8/2024,4/9/2024,Operations,Middle East,Donald Rosario,Jamie Mays,jenniferalvarez@example.org,Medium,Resolved,2816,1.25,21470.86
127CAE73,4/8/2024,4/9/2024,Customer Support,Africa,Angie Rush,Carla Gibbs,hollygarcia@example.net,Low,Resolved,2698,4,45667.77
C9C0EF34,4/8/2024,4/8/2024,Sales,North America,Samuel Hicks,Kenneth Hutchinson,david24@example.org,Critical,Resolved,607,3.06,10034.25
165D32A0,4/9/2024,4/10/2024,Sales,North America,Frank Levy,Kayla Davis,yuemily@example.org,Medium,Resolved,1920,4.44,16790.43
C6AC42CB,4/11/2024,,Sales,Middle East,Ralph Monroe,Kristi Browning,wbrown@example.org,High,Unresolved,,,12622.14
9CB7769B,4/11/2024,,Operations,Asia Pacific,Mark Cameron,Michael James,smithmichael@example.com,Critical,Unresolved,,,10630.62
93AD19F6,4/13/2024,4/15/2024,Sales,Middle East,Barry Zamora,Melissa Davila,williamdavis@example.org,High,Resolved,3487,4.38,17609.87
06CA106E,4/13/2024,4/13/2024,Sales,Africa,Audrey Vincent,Brenda Jones,cynthia50@example.com,Low,Resolved,1081,3.5,14051.05
79CD0D36,4/14/2024,4/15/2024,Technical Support,Middle East,Kent Austin,Tyler Poole,donnatownsend@example.net,High,Resolved,2871,1.8,40492.81
2192DCB7,4/14/2024,4/16/2024,Sales,Middle East,Jenny Vargas,Angela Marquez,cameroncorey@example.com,High,Resolved,3492,1.91,3229.58
723DEB7E,4/16/2024,4/16/2024,Customer Support,Africa,Andrew Cox,Barry Bennett,erivas@example.net,Low,Resolved,499,2.91,37137.58
0912CEFF,4/18/2024,,Technical Support,Middle East,Troy Sims,Edward Holland,taylorantonio@example.org,Critical,Unresolved,,,16404.23
D0250D85,4/19/2024,4/19/2024,Operations,Middle East,Matthew Grant,Nicholas Costa,vflores@example.org,High,Resolved,757,4.51,20306.46
EBF65F34,4/19/2024,4/19/2024,Operations,Europe,Belinda Warren,April Walker,william17@example.com,Low,Resolved,977,1.05,44307.08
360BE978,4/19/2024,,Operations,Asia Pacific,Justin Black,Victor Scott,wmunoz@example.net,Low,Unresolved,,,29624.37
81D9A104,4/20/2024,4/21/2024,Sales,Europe,Nicholas Bell,Mckenzie Powers,rthompson@example.org,Critical,Resolved,2656,2.51,10630.65
1AD97490,4/22/2024,,Technical Support,Asia Pacific,Christopher Jones,Jeffrey Chavez,sarahberg@example.org,Medium,Unresolved,,,26355.15
07257C62,4/24/2024,4/26/2024,Sales,Middle East,Paul Hart,Hector Armstrong,petersonmelissa@example.net,High,Resolved,4035,4.75,39919.45
C14FD9DE,4/25/2024,4/25/2024,Billing,Asia Pacific,Mr. Mark Martin,Sandra Howard,carpentercourtney@example.org,Critical,Resolved,458,4.32,36509.97
579EDF48,4/27/2024,4/27/2024,Customer Support,Africa,Carlos Cook,Jonathan Oneal,rdavis@example.com,High,Resolved,820,4.47,15531.02
39604144,4/28/2024,4/30/2024,Sales,Africa,Jillian Cook,Linda Sullivan,greenbrent@example.org,Medium,Resolved,4042,2,8554.28
8BE4D488,4/28/2024,4/28/2024,Customer Support,Europe,Heidi Hall,Laura Jarvis,warematthew@example.org,Medium,Resolved,1336,1.29,13446.44
42A7AC28,4/29/2024,4/30/2024,Technical Support,Africa,Marissa Rosales,Catherine Smith,rmiller@example.net,Low,Resolved,2162,1.65,42884.7
8D588FE1,4/30/2024,4/30/2024,Customer Support,Africa,Sandra Cross,Richard Navarro,olivia62@example.net,Low,Resolved,1329,3.32,31443.09
68C1CD2A,4/30/2024,5/2/2024,Technical Support,Middle East,Amanda Davis,Michael Palmer,kennedytammy@example.com,Low,Resolved,2955,2.88,29333.57
EAB3DED5,4/30/2024,5/1/2024,Technical Support,North America,Wesley Day,Sean Lopez,jbyrd@example.net,High,Resolved,2452,4.02,46371.77
3A4CF474,5/1/2024,,Operations,Middle East,Emily Garcia,Brian Leon,russelllaura@example.net,Critical,Unresolved,,,30687.45
6DA1E6A4,5/1/2024,5/3/2024,Customer Support,North America,Gregory Tucker,Michelle Campbell,lorishaffer@example.net,Medium,Resolved,3306,2.22,39122.79
DD3D295A,5/2/2024,5/3/2024,Billing,Asia Pacific,Elizabeth Ibarra,John Smith,chad57@example.net,High,Resolved,2255,4.28,11530.36
C62510A0,5/4/2024,5/4/2024,Operations,Africa,Debra Burton,Joel Reid,wlong@example.org,Low,Resolved,715,1.96,7010.9
A7A52B5D,5/6/2024,5/7/2024,Customer Support,Middle East,Billy Johnson,Elizabeth Irwin,taylor68@example.com,High,Resolved,2519,3.91,5702.57
D81FF7A6,5/6/2024,5/7/2024,Technical Support,North America,Crystal Dunn,James Mathis,smithdennis@example.org,High,Resolved,2562,2.55,8633.52
BF25D036,5/7/2024,,Sales,Europe,Matthew Burke,Renee Middleton,ynavarro@example.net,Critical,Unresolved,,,6912.65
49F01815,5/7/2024,5/8/2024,Operations,Middle East,Joshua Foley,Harry Liu,john97@example.net,Critical,Resolved,2763,3.18,33867.69
F566F165,5/7/2024,,Sales,Middle East,Craig Black,Vanessa Dunn,melissaday@example.net,Low,Unresolved,,,32439.53
6B81A723,5/7/2024,5/8/2024,Sales,North America,Anna Delacruz,Tony Kim,sheltonsydney@example.org,Medium,Resolved,1668,3.28,34752.29
B8FBD294,5/8/2024,,Sales,Asia Pacific,Jeffrey Golden,Suzanne Boyd,rhondayang@example.com,Low,Unresolved,,,49307.1
F32D0B9B,5/9/2024,5/9/2024,Billing,Middle East,Sarah Smith,Amy Sims,jennifer33@example.com,Medium,Resolved,606,1.19,26755.41
94AAB645,5/10/2024,5/11/2024,Sales,Africa,Megan Riley,Christian Mitchell,linda07@example.org,High,Resolved,1538,1.96,28167.21
AC9522D3,5/10/2024,5/12/2024,Customer Support,Middle East,Richard Payne,Tracy Carrillo,danielle35@example.com,High,Resolved,3203,2.71,31003.91
F17D2DB1,5/10/2024,5/12/2024,Customer Support,Asia Pacific,Jonathan Bolton,John Simmons,wilkinstimothy@example.org,Low,Resolved,3795,2.55,26682.49
28C63EF1,5/11/2024,5/12/2024,Billing,Asia Pacific,Joseph Peterson,Colleen Bowen,karen59@example.org,High,Resolved,2617,3.52,2729.76
C7D242F0,5/11/2024,5/11/2024,Technical Support,North America,Daniel Smith,Anthony Simmons,christine73@example.com,Critical,Resolved,239,1.49,39641.21
41530202,5/11/2024,5/12/2024,Sales,Europe,Jessica Diaz,Chris Bell,michael00@example.org,High,Resolved,2579,3.34,27781.87
293F8830,5/12/2024,5/12/2024,Technical Support,North America,Jennifer Williams,Kevin Sanders,rodriguezkevin@example.com,Critical,Resolved,954,3.46,33898.92
FF21AAF4,5/13/2024,5/13/2024,Operations,Africa,Lisa Pruitt,Marissa Olsen,yparker@example.org,High,Resolved,1080,2.58,45905.15
659E0A79,5/14/2024,,Customer Support,North America,Sarah Barker,Brett Montgomery,nwilkins@example.net,Low,Unresolved,,,31049.31
D5669D33,5/14/2024,5/15/2024,Operations,North America,Marilyn Johnson,Charles Perry,tsmith@example.net,Medium,Resolved,1568,3.39,10995.3
7DD5AD08,5/16/2024,,Technical Support,Middle East,Edward Stewart,Shelby Olson,salazarchristopher@example.net,Medium,Unresolved,,,30213.39
72C456E3,5/17/2024,5/17/2024,Customer Support,Middle East,Michael Green,Angela Curry,andersonwilliam@example.org,High,Resolved,1319,3.07,25729.56
